zid,mid,ddist
z1950,m97291,71.501183
z1950,m53740,49.942088
z1950,m71506,19.484958
z1950,m9271,42.937371
z1950,m24607,46.048576
z1950,m61165,43.713463
z1950,m49096,66.353744
z2453,m97291,31.448217
z2453,m53740,60.330793
z2453,m71506,64.506408
z2453,m72505,53.162655
z2453,m9271,6.310646
z2453,m61165,54.102168
z2453,m61786,60.983233
z2453,m49096,41.869855
z7747,m89263,28.981995
z7747,m88462,39.335903
z7747,m63217,40.988129
z8075,m89263,34.869487
z8075,m90730,53.891524
z8075,m71749,59.021564
z8075,m88462,27.867877
z8075,m3898,70.531844
z8075,m73693,80.612349
z8075,m69076,24.234719
z8075,m1495,81.131194
z11434,m89263,67.849385
z11434,m22096,71.885812
z11434,m88462,77.273721
z11434,m63217,14.518959
z11434,m10162,45.620452
z13452,m970,58.372231
z13452,m79633,49.000089
z13452,m33598,70.829481
z13452,m89785,44.155258
z13460,m7732,58.679189
z13460,m41914,68.31852
z13460,m86302,58.322521
z13460,m89785,37.922905
z13638,m92674,3.287675
z14719,m11350,53.103003
z14846,m75664,55.899174
z14846,m11350,71.190497
z15057,m94726,46.039256
z15057,m93592,27.844886
z15057,m97831,75.266071
z15057,m69697,24.214835
z15057,m58168,39.516101
z15057,m89650,60.12077
z15057,m59275,64.364735
z15237,m94726,67.372172
z15237,m93592,47.803329
z15237,m97831,62.708159
z15237,m69697,12.900909
z15237,m58168,40.86137
z15237,m89650,67.986086
z15322,m94726,52.197044
z15322,m93592,56.745481
z15322,m69697,53.242812
z15322,m58168,20.986812
z15322,m89650,26.838265
z15322,m59275,30.13961
z15432,m94726,55.29023
z15432,m93592,59.838667
z15432,m69697,38.35103
z15432,m58168,2.748946
z15432,m89650,29.942014
z15432,m59275,52.382834
z15432,m43291,82.624349
z15437,m21745,52.071527
z15437,m69697,75.019387
z15437,m58168,45.020828
z15437,m89650,17.592261
z15437,m59275,28.669445
z15437,m43291,71.501183
z15663,m94726,70.211216
z15663,m93592,70.340462
z15663,m69697,29.607716
z15663,m58168,17.198312
z15663,m89650,31.480529
z15663,m59275,54.073585
z15663,m43291,70.822024
z15846,m1792,86.233894
z15846,m84493,77.974628
z17043,m8434,87.717728
z17043,m48664,37.638317
z17043,m97750,27.032132
z17043,m47530,38.205008
z17043,m73693,62.673363
z17043,m37081,2.911124
z17043,m15184,52.281551
z17043,m36784,36.444042
z17043,m94294,65.669614
z17048,m95455,57.371202
z17048,m8434,49.859446
z17048,m48664,37.192794
z17048,m97750,62.491301
z17048,m47530,71.040747
z17048,m73693,56.091799
z17048,m37081,35.758048
z17048,m37945,60.640236
z17048,m36784,73.42557
z17048,m84493,93.529413
z17979,m8434,63.64208
z17979,m48664,24.284429
z17979,m97750,75.973192
z17979,m47530,38.702726
z17979,m71749,46.865679
z17979,m73693,22.958423
z17979,m80227,62.663421
z17979,m37081,49.70721
z17979,m37945,42.487498
z17979,m1495,50.029702
z18628,m7732,84.614601
z18628,m95455,51.892572
z18628,m8434,38.989178
z18628,m80227,38.320583
z18628,m37945,64.335531
z18628,m27118,64.988592
z19141,m89263,40.198367
z19141,m90730,50.575265
z19141,m71749,42.51546
z19141,m88462,31.754553
z19141,m3898,67.215586
z19141,m73693,64.106245
z19141,m69076,10.701876
z19141,m1495,61.26285
z19979,m78364,49.103237
z19979,m90730,92.830371
z19979,m90658,59.859172
z19979,m3898,133.286606
z19979,m199,94.381935
z19979,m4843,84.471685
z19979,m24580,10.383113
z21209,m91261,75.325723
z21209,m92242,60.878221
z21209,m97750,47.045256
z21209,m47530,73.32615
z21209,m199,31.18662
z21209,m31519,48.654607
z21209,m36784,46.508391
z21209,m4843,20.226875
z21209,m94294,23.6643
z21223,m91261,62.112264
z21223,m92242,48.399224
z21223,m97750,55.239278
z21223,m47530,81.520172
z21223,m199,31.535831
z21223,m31519,46.971934
z21223,m36784,54.280502
z21223,m4843,4.228431
z21223,m94294,31.436411
z22201,m91261,32.274641
z22201,m92242,8.294684
z22201,m31600,52.330018
z22201,m36190,83.251312
z22201,m31519,47.490779
z22201,m4843,42.008421
z22201,m49594,65.218499
z22201,m94294,63.821657
z23116,m31600,54.606722
z23116,m74746,22.179845
z23116,m95411,55.878669
z25649,m15481,62.121585
z25649,m6139,74.614253
z25649,m40753,60.633401
z25826,m15481,84.110669
z25826,m6139,24.027181
z26543,m94726,75.059155
z26543,m93592,79.607592
z26543,m69697,76.104922
z26543,m58168,61.313181
z26543,m89650,40.565597
z26543,m59275,6.130448
z27563,m25228,57.890668
z27563,m75988,49.193957
z27563,m73261,58.831424
z27919,m90892,59.76286
z28078,m96670,70.204381
z28078,m32653,27.782749
z28078,m19558,27.962325
z28078,m15670,13.360102
z28078,m38647,48.634723
z28078,m75745,37.5128
z28762,m83548,82.353431
z28762,m35461,81.581688
z28762,m43210,82.26706
z28762,m3358,28.187261
z28762,m38647,57.933543
z28762,m55603,93.882352
z29018,m18964,61.492757
z29018,m85708,57.031312
z29018,m15508,50.057042
z29824,m18964,70.3125
z29824,m4222,30.820633
z29841,m4222,8.609098
z30025,m32194,48.459497
z30025,m3817,49.399631
z30025,m3763,34.203377
z30025,m52822,72.830296
z30421,m39133,46.536353
z30421,m79768,70.128574
z30562,m35461,73.21741
z30562,m2413,68.0737
z30562,m32194,65.258267
z30562,m3358,80.562018
z32571,m68482,20.184622
z32571,m22285,57.007079
z32571,m31060,53.091197
z32571,m57925,78.397782
z32667,m32167,16.877063
z32667,m39758,55.814667
z32667,m45937,53.380756
z32667,m48799,73.401958
z32667,m64567,31.653891
z33013,m56602,29.611444
z33760,m84024,59.480757
z33760,m98182,51.387398
z33760,m86599,19.475637
z33760,m46828,53.487632
z33760,m79606,57.037526
z35148,m89110,79.780954
z35148,m7786,30.564006
z35148,m22690,66.202751
z37098,m60733,62.76284
z37098,m61273,57.169878
z37098,m17317,58.196383
z37310,m15832,38.064578
z37310,m22069,39.293029
z37310,m17722,11.24309
z38108,m56116,15.387015
z39094,m42211,38.859312
z39520,m35920,34.610375
z39520,m67807,74.611767
z39520,m62677,61.211276
z39520,m53794,50.611926
z39520,m82468,27.278817
z41862,m45235,99.176435
z43439,m87868,41.808961
z43439,m51364,54.414718
z43439,m54091,74.240809
z43439,m2602,85.920102
z43439,m58357,53.419281
z44134,m17668,14.918501
z44134,m766,33.728028
z44134,m13375,49.715288
z44134,m97831,66.660702
z44134,m51364,28.833487
z44901,m766,64.355414
z44901,m13375,65.650352
z44901,m19234,64.572273
z44901,m51364,57.44266
z44901,m54091,3.242936
z44901,m61705,58.357318
z45166,m16885,53.692685
z45166,m19234,62.183722
z45166,m83980,37.208328
z45166,m56926,43.228794
z45166,m22528,40.376079
z45410,m16885,47.845582
z45410,m83980,29.671717
z45410,m56926,26.633833
z45410,m22528,3.264684
z46044,m45694,37.10021
z46044,m41212,37.540762
z46044,m60625,23.092018
z46044,m2386,14.423889
z46044,m46018,70.240421
z47928,m15211,59.244015
z47928,m22204,25.89813
z47928,m87139,38.034131
z47928,m46018,62.645401
z48603,m56980,19.095979
z48603,m47719,70.352268
z48603,m29872,45.91871
z48603,m77149,3.923338
z48603,m5869,17.993667
z48763,m56980,81.473569
z48763,m77149,81.225642
z48763,m5869,71.154458
z49048,m83116,72.539494
z49048,m47719,73.382695
z49048,m34300,58.791035
z49048,m39430,75.793615
z49048,m26794,59.696995
z49048,m43723,7.461425
z49048,m42157,62.052613
z49048,m5707,21.153961
z49048,m7138,56.281938
z49326,m47719,73.098728
z49326,m34300,37.336952
z49326,m39430,62.283763
z49326,m60841,63.677498
z50002,m23743,56.7722
z50049,m23743,59.759132
z50124,m23743,28.051181
z50124,m2062,12.423074
z50157,m92593,61.380289
z50157,m23743,68.183061
z50157,m2062,75.768139
z50157,m14752,74.902569
z50157,m41590,56.71752
z50219,m23743,48.586878
z50219,m2062,76.38951
z51056,m82225,37.269844
z52001,m24823,4.155109
z54660,m45910,42.240192
z55426,m77338,69.066651
z55426,m57628,5.665041
z56553,m29089,38.168347
z60016,m75718,72.194012
z60016,m73153,58.089507
z60016,m22960,65.180595
z60016,m44506,44.904011
z60016,m76474,33.812535
z60016,m16264,19.89817
z60033,m6760,31.627172
z60033,m75718,28.746495
z60033,m73153,62.305511
z60033,m22960,37.491674
z60033,m44506,49.129335
z60033,m76474,28.261826
z60033,m42562,34.901798
z60033,m16264,69.199624
z60033,m57466,69.467435
z60408,m22960,70.831345
z60408,m16264,48.256308
z60408,m43885,22.407267
z60913,m16264,63.184751
z60913,m43885,14.536979
z61251,m22366,38.193202
z61749,m83899,38.766106
z61749,m15211,52.107567
z61749,m8407,34.988169
z61749,m68509,64.900357
z61749,m22717,26.353595
z62273,m1765,41.484605
z62273,m77770,48.203492
z62419,m28333,69.42891
z62526,m83899,44.22423
z62526,m15211,46.932166
z62526,m8407,45.015236
z62526,m22717,7.263208
z62612,m83899,25.909315
z62612,m22717,63.6601
z62693,m83899,18.057047
z62693,m8407,56.549128
z62693,m68509,61.384639
z62693,m22717,39.451478
z62895,m13591,68.027097
z62895,m28333,71.92558
z62966,m13591,18.272663
