mid,m_id,name,UATYPE,m_pop,m_house_unit,m_land,m_water,m_lat_d,m_long_d,m_lat_r,m_long_r
m37,37,"Abbeville, LA Urban Cluster",C,19824,8460,11.283,0.116,29.967602,-92.098219,0.5230333238272378,-1.6074171567727997
m64,64,"Abbeville, SC Urban Cluster",C,5243,2578,4.369,0.008,34.179237,-82.379726,0.5965402214694692,-1.4377974555907782
m91,91,"Abbotsford, WI Urban Cluster",C,3966,1616,2.071,0.005,44.948612,-90.315875,0.7845012736014334,-1.5763093855696337
m118,118,"Aberdeen, MS Urban Cluster",C,4666,2050,2.864,0.02,33.824742,-88.554591,0.5903531165376119,-1.5455691807069378
m145,145,"Aberdeen, SD Urban Cluster",C,25977,12114,12.742,0.096,45.463186,-98.471033,0.7934822841465907,-1.7186437436899895
m172,172,"Aberdeen, WA Urban Cluster",C,29856,13139,15.443,0.745,46.976365,-123.796056,0.819892239868626,-2.160648778183281
m199,199,"Aberdeen--Bel Air South--Bel Air North, MD Urbanized Area",U,213751,83721,131.131,3.794,39.508977,-76.30343,0.6895617327447118,-1.3317460840650168
m226,226,"Abernathy, TX Urban Cluster",C,2785,1124,1.178,0.005,33.830523,-101.846278,0.5904540140216695,-1.7775528820014654
m253,253,"Abilene, KS Urban Cluster",C,7054,3238,3.387,0.001,38.92106,-97.220754,0.6793006453662641,-1.696822258571447
m280,280,"Abilene, TX Urbanized Area",U,110421,46732,54.732,0.382,32.428466,-99.747188,0.5659835030710355,-1.7409168502057775
m334,334,"Abingdon, IL Urban Cluster",C,3389,1483,1.441,0.0,40.804182,-90.40152,0.7121673244830048,-1.5778041728075043
m388,388,"Ada, OH Urban Cluster",C,5945,1906,1.841,0.0,40.767274,-83.824641,0.7115231583626788,-1.463015979752232
m415,415,"Ada, OK Urban Cluster",C,17400,8086,11.936,0.034,34.774803,-96.669103,0.6069348090824016,-1.687194132299528
m450,450,"Adams, NY Urban Cluster",C,2542,1100,1.972,0.005,43.808664,-76.021178,0.7646054276999091,-1.3268198573446779
m469,469,"Adel, GA Urban Cluster",C,6986,2990,6.036,0.079,31.145731,-83.429099,0.543595553890466,-1.4561124695223087
m496,496,"Adel, IA Urban Cluster",C,3170,1317,1.785,0.0,41.612218,-94.020971,0.7262702131576497,-1.6409755098721055
m550,550,"Adjuntas, PR Urban Cluster",C,11122,4637,7.892,0.06,18.166604,-66.729934,0.31706705370597194,-1.1646570579385096
m577,577,"Adrian, MI Urban Cluster",C,44823,18178,24.023,0.237,41.914086,-84.049778,0.73153880366406,-1.4669453616702945
m631,631,"Aguadilla--Isabela--San Sebasti�n, PR Urbanized Area",U,306196,138431,239.274,0.348,18.369286,-67.040259,0.32060452194049904,-1.1700732509397613
m658,658,"Ahoskie, NC Urban Cluster",C,4951,2267,2.916,0.0,36.287865,-76.983282,0.633342722769212,-1.3436117398912855
m676,676,"Air Force Academy, CO Urban Cluster",C,5512,326,2.494,0.0,38.985935,-104.858324,0.6804329277184955,-1.8301230019229906
m712,712,"Ajo, AZ Urban Cluster",C,3076,2006,2.666,0.0,32.38873,-112.868913,0.5652899790394631,-1.9699341549970308
m739,739,"Akron, NY Urban Cluster",C,2982,1426,2.618,0.0,43.020471,-78.493346,0.7508488647087375,-1.369967328607121
m766,766,"Akron, OH Urbanized Area",U,569499,257659,325.377,6.731,41.066225,-81.491897,0.7167408376148084,-1.4223019163460895
m793,793,"Alachua, FL Urban Cluster",C,4114,1816,3.769,0.012,29.791337,-82.507892,0.5199569192212099,-1.4400343742798891
m820,820,"Alamogordo, NM Urban Cluster",C,31862,14793,16.558,0.021,32.902756,-105.949613,0.5742614251803193,-1.849169588063787
m847,847,"Alamosa, CO Urban Cluster",C,9751,4057,7.292,0.0,37.458831,-105.872247,0.65377993489812,-1.847819296634689
m901,901,"Albany, GA Urbanized Area",U,95779,40430,70.845,1.077,31.591097,-84.168827,0.5513686569669031,-1.4690231586915012
m921,921,"Albany, MN Urban Cluster",C,2564,1070,1.672,0.11,45.630888,-94.569355,0.7964092362087704,-1.6505466162373619
m955,955,"Albany, OR Urbanized Area",U,56997,23542,23.963,0.116,44.630995,-123.091188,0.7789578111911265,-2.148346510791334
m970,970,"Albany--Schenectady, NY Urbanized Area",U,594962,266370,295.732,6.286,42.746355,-73.800509,0.7460646379763407,-1.288061871697708
m982,982,"Albemarle, NC Urban Cluster",C,16823,7929,17.148,0.024,35.375322,-80.189318,0.6174158428531854,-1.3995676240287542
m1009,1009,"Albert Lea, MN Urban Cluster",C,17868,8343,9.851,0.539,43.656119,-93.379007,0.7619430151924543,-1.6297711243928326
m1036,1036,"Albertville, AL Urban Cluster",C,36815,14980,35.845,1.998,34.268074,-86.223507,0.5980907196170633,-1.5048840897663784
m1063,1063,"Albia, IA Urban Cluster",C,3573,1660,2.161,0.0,41.027003,-92.805176,0.7160562845755911,-1.619755884092821
m1090,1090,"Albion, MI Urban Cluster",C,9219,3809,6.603,0.053,42.252722,-84.75533,0.7374491168298435,-1.4792595671143256
m1117,1117,"Albion, NY Urban Cluster",C,8171,2780,2.949,0.0,43.245788,-78.193603,0.7547813882194534,-1.3647358263473155
m1144,1144,"Albion, PA Urban Cluster",C,4574,1048,2.87,0.022,41.890344,-80.355166,0.7311244275930515,-1.4024622176866017
m1171,1171,"Albuquerque, NM Urbanized Area",U,741318,314851,250.569,3.444,35.141344,-106.62889,0.6133321563759541,-1.8610252082468564
m1198,1198,"Alderson, WV Urban Cluster",C,2632,789,1.328,0.036,37.727925,-80.649268,0.6584765111954817,-1.4075952659233022
m1225,1225,"Aledo, IL Urban Cluster",C,3655,1684,2.217,0.012,41.198542,-90.745194,0.7190502049211698,-1.5838024156610029
m1232,1232,"Aledo, TX Urban Cluster",C,4854,1620,4.684,0.067,32.680947,-97.647372,0.5703901278197633,-1.7042681473197203
m1252,1252,"Alexander City, AL Urban Cluster",C,9400,4326,9.714,0.025,32.939745,-85.957946,0.5749070050173396,-1.5002491759514898
m1279,1279,"Alexandria, LA Urbanized Area",U,82804,33935,65.542,0.35,31.260637,-92.506129,0.5456010419207625,-1.6145365293246094
m1306,1306,"Alexandria, MN Urban Cluster",C,16983,8604,14.851,2.873,45.900999,-95.3683,0.8011235625046246,-1.664490837029708
m1333,1333,"Alfred, NY Urban Cluster",C,4322,659,1.203,0.0,42.256634,-77.784266,0.7375173941101815,-1.3575915479470797
m1360,1360,"Algoma, WI Urban Cluster",C,3070,1655,1.848,0.041,44.607208,-87.444363,0.7785426497219547,-1.5261920466591063
m1387,1387,"Algona, IA Urban Cluster",C,5340,2618,2.65,0.017,43.072716,-94.228677,0.7517607119764419,-1.6446006634482528
m1414,1414,"Alice, TX Urban Cluster",C,20974,8017,10.869,0.0,27.752405,-98.075029,0.4843708425969369,-1.7117321700389219
m1441,1441,"Allegan, MI Urban Cluster",C,6322,2821,4.719,0.057,42.530023,-85.849978,0.7422889322989163,-1.4983647788646963
m1468,1468,"Allendale, SC Urban Cluster",C,3307,1567,2.297,0.0,33.008841,-81.311258,0.5761129577172974,-1.4191491710385793
m1495,1495,"Allentown, PA--NJ Urbanized Area",U,664651,271233,346.291,4.064,40.651115,-75.442168,0.7094958013568546,-1.3167142264427052
m1522,1522,"Alliance, NE Urban Cluster",C,8486,4073,4.654,0.012,42.100596,-102.87402,0.7347940172519547,-1.795490363762497
m1549,1549,"Alliance, OH Urban Cluster",C,32533,14786,17.705,0.107,40.914526,-81.09674,0.7140931905928255,-1.4154051256337863
m1603,1603,"Alma, GA Urban Cluster",C,3408,1427,2.822,0.14,31.541905,-82.469699,0.5505100946012621,-1.439367780678675
m1630,1630,"Alma--St. Louis, MI Urban Cluster",C,16924,5477,7.434,0.157,43.390662,-84.641513,0.7573099165199877,-1.4772730857195833
m1657,1657,"Almont, MI Urban Cluster",C,2719,1131,1.465,0.001,42.921599,-83.039777,0.7491232227707056,-1.4493175187718592
m1684,1684,"Alpena, MI Urban Cluster",C,14258,7137,9.462,0.707,45.063072,-83.453033,0.786498977463266,-1.456530196625481
m1711,1711,"Alpine, TX Urban Cluster",C,6013,3081,4.178,0.0,30.358305,-103.664632,0.5298523775746572,-1.8092891462682743
m1738,1738,"Altavista, VA Urban Cluster",C,4663,2234,5.564,0.048,37.113627,-79.294132,0.6477549885070655,-1.3839436809109964
m1765,1765,"Alton, IL--MO Urbanized Area",U,83890,38237,54.807,0.781,38.897683,-90.12829,0.6788926397470255,-1.5730354096922803
m1792,1792,"Altoona, PA Urbanized Area",U,79930,35760,37.394,0.065,40.485263,-78.393865,0.7066011378858371,-1.3682310576139447
m1819,1819,"Alturas, CA Urban Cluster",C,2910,1416,1.905,0.006,41.489183,-120.546287,0.7241228473124585,-2.103929609204038
m1846,1846,"Altus, OK Urban Cluster",C,19900,8973,12.151,0.201,34.652723,-99.310867,0.6048041111315671,-1.7333016121601834
m1873,1873,"Alva, OK Urban Cluster",C,5620,2616,2.627,0.0,36.801099,-98.664668,0.6423003459023927,-1.7220233119870887
m1900,1900,"Alvarado, TX Urban Cluster",C,4133,1630,2.835,0.008,32.412303,-97.216677,0.5657014055040357,-1.6967511014978436
m1927,1927,"Amarillo, TX Urbanized Area",U,196651,80744,81.177,0.606,35.197528,-101.849137,0.6143127521628947,-1.7776027809647799
m1981,1981,"American Falls, ID Urban Cluster",C,4488,1624,1.443,0.0,42.782316,-112.853104,0.7466922758286504,-1.9696582358955828
m2008,2008,"Americus, GA Urban Cluster",C,19106,7655,12.14,0.054,32.072568,-84.229191,0.5597719111697727,-1.470076709241175
m2035,2035,"Amery, WI Urban Cluster",C,2832,1412,2.062,0.429,45.306434,-92.364101,0.7907464456375046,-1.612057673094587
m2062,2062,"Ames, IA Urbanized Area",U,60438,24470,23.23,0.063,42.031532,-93.633771,0.7335886230573572,-1.6342175950083835
m2116,2116,"Amite City, LA Urban Cluster",C,6161,2313,7.015,0.016,30.733526,-90.52111,0.5364012194472828,-1.5798914120599639
m2143,2143,"Amory, MS Urban Cluster",C,6566,3028,5.554,0.011,33.984789,-88.48001,0.5931464636455511,-1.5442674966975078
m2170,2170,"Amsterdam, NY Urban Cluster",C,22262,10805,10.373,0.303,42.953162,-74.195033,0.7496741010425125,-1.2949476144758458
m2197,2197,"Anaconda-Deer Lodge County, MT Urban Cluster",C,6170,3411,2.404,0.0,46.131046,-112.957216,0.80513864008896,-1.9714753330864192
m2224,2224,"Anacortes, WA Urban Cluster",C,16712,8310,9.487,0.228,48.48661,-122.628592,0.8462509876304077,-2.1402726874847784
m2251,2251,"Anadarko, OK Urban Cluster",C,5929,2482,2.426,0.0,35.07139,-98.241232,0.6121112287510141,-1.714632959615614
m2278,2278,"Anamosa, IA Urban Cluster",C,5497,2088,2.11,0.0,42.110072,-91.276047,0.7349594046518737,-1.5930675483550927
m2305,2305,"Anchorage, AK Urbanized Area",U,251243,97417,84.982,1.026,61.167898,-149.847155,1.0675812166240544,-2.6153262294962834
m2332,2332,"Anchorage Northeast, AK Urban Cluster",C,28568,10116,16.32,0.14,61.329442,-149.535228,1.070400691310896,-2.609882076320415
m2359,2359,"Andalusia, AL Urban Cluster",C,6655,3187,5.763,0.013,31.311564,-86.479556,0.5464898857489258,-1.5093529878628174
m2386,2386,"Anderson, IN Urbanized Area",U,88133,40670,66.062,0.291,40.089827,-85.679807,0.6996994777049207,-1.495394734623285
