z_id,z_lat_d,z_long_d,z_land,z_water,z_pop,z_households,z_comm,z_med_inc,z_house_unit,z_comm_miles,z_comm_miles_ph,z_carb_ton_ph,z_pov,z_per_comm
1950,42.812358,-70.891095,8.348,2.311,17416,7555,4354,85556,8264,9.316330110949999E7,21397.175266306844,8.885826943535932,4.8,73.2
2453,42.369542,-71.240513,3.499,0.284,28968,11506,7242,70597,11995,8.032213206499998E7,11091.153281552055,4.605938280988464,7.3,64.2
7747,40.415326,-74.253906,12.581,0.32,30770,11566,7692,92729,12027,1.573638106545E8,20456.783965485865,8.495300892582847,4.2,73.6
8075,40.029586,-74.948936,9.901,1.734,28894,10380,7223,75087,11321,9.248978302900001E7,12804.012324911748,5.317255024836015,4.7,82.5
11434,40.676808,-73.776425,3.239,0.066,59129,20731,14782,58076,21681,1.1831955449100001E8,8004.164081313738,3.3239722518988413,8.4,42.2
13452,43.043056,-74.63047,76.302,0.798,4629,1732,1157,40331,2096,3.20279100065E7,27675.878165046444,11.493249030503168,14.5,76.3
13460,42.687037,-75.442842,71.499,0.186,4429,1763,1107,44875,2039,3.03509257845E7,27411.086732445245,11.383286345385091,7.1,76.8
13638,44.019072,-75.741697,1.22,0.09,378,90,94,38750,164,154520.725,1635.139947089947,0.6790415284947833,10.5,91.3
14719,42.341958,-78.875953,94.331,0.586,3497,1382,874,45893,1767,2.3206012311E7,26543.908848727482,11.023164389656129,12.5,78.1
14846,42.53209,-78.001564,34.16,0.242,792,336,198,46389,418,5534018.226,27949.587,11.60691493780374,7.2,75.8
15057,40.358656,-80.243904,54.673,0.082,13930,5608,3482,72471,5614,4.85882304975E7,13952.112131371143,5.794038341658662,2.9,87.1
15237,40.549607,-80.043513,24.212,0.062,41895,18001,10473,73987,18766,1.22302921062E8,11677.089968922306,4.849266287561334,2.4,82.3
15322,39.981643,-80.053364,14.201,0.056,2018,894,504,42348,938,1.2770931203499999E7,25314.03608225966,10.512422367431853,11.1,83.8
15432,40.114094,-79.860274,0.64,0.129,427,184,106,34000,224,2019598.9795,18918.95999531616,7.856672779363306,13.3,89.8
15437,39.780204,-79.612135,69.804,0.08,2573,828,643,44085,1168,1.1503312113E7,17883.112495919162,7.42650564258101,11.1,68.4
15663,40.251846,-79.679271,0.982,0.0,455,201,113,54531,220,1691158.9475,14867.331406593406,6.1741109444110105,0.7,87.0
17043,40.247578,-76.900145,2.021,0.003,5957,2934,1489,42920,3152,2.2958514214E7,15416.158612724526,6.402028111742191,13.8,82.9
17048,40.576792,-76.761348,34.688,0.007,4046,1432,1011,45982,1757,2.4386229758500002E7,24108.976528423136,10.011984785425067,12.1,67.4
17979,40.561567,-76.199716,1.056,0.0,168,95,42,51042,90,834728.937,19874.4985,8.253489166799067,0.0,100.0
18628,41.430143,-76.313808,20.436,0.429,192,100,48,31250,292,1028554.4954999998,21428.218656249996,8.89871865411653,0.0,90.3
19141,40.037574,-75.145697,1.814,0.0,31376,12479,7844,28622,14086,7.762050240849999E7,9895.525549273329,4.1094175493641165,25.3,43.6
19979,39.048818,-75.572566,2.021,0.0,632,205,158,58750,256,2724196.943,17241.75280379747,7.160161549876081,14.0,89.7
21209,39.373191,-76.670003,7.087,0.039,26465,11872,6616,73577,12054,1.55345389366E8,23479.371149215945,9.75052202818141,5.5,76.2
21223,39.282778,-76.653992,2.632,0.019,26366,8826,6591,26342,14343,1.1668403996199998E8,17702.198279905937,7.351375519323556,34.1,46.4
22201,38.886566,-77.09525,2.339,0.0,33476,17372,8369,115000,18985,8.810226915550001E7,10527.215814971922,4.371746119049321,4.2,47.5
23116,37.675824,-77.336603,62.816,0.574,27228,9742,6807,97277,9796,9.62029868235E7,14132.949437858088,5.869136525899292,1.8,84.5
25649,37.875432,-82.093093,11.026,0.002,1397,583,349,38650,660,1.0661825574000001E7,30527.775444523984,12.677585998854425,19.6,81.5
25826,37.576034,-81.35819,0.212,0.007,296,88,74,86500,121,889005.697,12013.5905,4.989008353901871,18.2,100.0
26543,39.664628,-79.999923,0.904,0.012,252,46,63,55500,141,1089752.7174999998,17297.66218253968,7.183379617580849,0.0,55.4
27563,36.425621,-78.235797,70.819,0.201,5008,2102,1252,32318,2402,3.62993160705E7,28993.063954073485,12.04025043737622,18.5,91.0
27919,36.308171,-76.504283,58.224,0.003,1130,362,282,70795,576,8426563.26,29828.542513274337,12.387208285769583,0.0,83.9
28078,35.405286,-80.86402,63.802,1.458,52133,20184,13033,89774,20596,1.39145647413E8,10676.20489233307,4.43361835879271,3.1,81.3
28762,35.62679,-82.231583,99.731,0.191,6857,2688,1714,37262,3356,3.5132860735E7,20494.595732827765,8.511003377459831,15.7,80.7
29018,33.348797,-80.639176,109.61,0.377,3749,1238,937,31033,1752,2.61140604075E7,27862.427748732993,11.57071941135468,14.8,81.8
