zid,z_id,z_pop,z_house_unit,z_land,z_water,z_lat_d,z_long_d,z_lat_r,z_long_r
z601,601,18570,7744,64.348,0.309,18.180555,-66.749961,0.31731054458991764,-1.1650065950278068
z602,602,41520,18073,30.613,1.717,18.362268,-67.17613,0.3204820347335941,-1.1724446472477383
z603,603,54689,25653,31.614,0.071,18.455183,-67.119887,0.3221037074080847,-1.1714630217165392
z606,606,6615,2877,42.309,0.005,18.158345,-66.932911,0.31692290696304976,-1.1681996748943304
z610,610,29016,12618,35.916,1.611,18.290955,-67.125868,0.3192373880841194,-1.171567409859101
z612,612,67010,30992,67.609,3.787,18.402239,-66.7114,0.3211796602889088,-1.1643335786149451
z616,616,11017,4896,11.533,0.058,18.420412,-66.671979,0.3214968389738737,-1.1636455523705163
z617,617,24597,10594,15.192,1.54,18.445147,-66.559696,0.3219285461643545,-1.1616858443264997
z622,622,7853,8714,28.987,0.654,17.991245,-67.153993,0.3140064617829672,-1.1720582837112243
z623,623,43061,21426,37.98,0.631,18.083435,-67.153877,0.3156154808203808,-1.172056259129292
z624,624,26241,9905,43.163,0.975,18.063275,-66.715966,0.31526362244317874,-1.164413270348591
z627,627,35159,14431,46.355,1.354,18.41503,-66.861879,0.3214029053535314,-1.1669599326200537
z631,631,1852,842,4.021,0.259,18.190607,-66.832041,0.31748598508632814,-1.1664391612778438
z637,637,25287,10962,34.45,0.01,18.076713,-66.947389,0.3154981597880617,-1.168452363663434
z638,638,18941,7805,66.045,0.19,18.291088,-66.513306,0.31923970937202456,-1.1608761860864993
z641,641,31191,13358,93.528,1.338,18.262962,-66.71402,0.31874881806660865,-1.1643793062413474
z646,646,38199,16699,20.7,1.282,18.433167,-66.285941,0.32171945571996563,-1.1569079182327024
z647,647,6172,3482,15.205,3.094,17.963613,-66.947127,0.3135241924040561,-1.1684477909007935
z650,650,14998,6124,30.522,0.215,18.349416,-66.578079,0.3202577250181278,-1.1620066882028939
z652,652,4715,1947,6.914,0.006,18.451934,-66.603113,0.3220470016606874,-1.162443613927838
z653,653,13307,6217,15.242,2.009,17.985452,-66.888933,0.31390535485939913,-1.167432113995888
z656,656,21481,8680,32.42,1.682,18.053539,-66.792931,0.3150936971872046,-1.1657565630073885
z659,659,41953,17365,41.781,1.173,18.407222,-66.809008,0.3212666300455357,-1.1660371595912318
z660,660,17250,7783,11.344,0.0,18.134644,-67.116158,0.3165092464770346,-1.1713979383887323
